Influencer Level,N,Hiring Cost,Buyers,Outreach
1,2,65.99,17102,55261
2,3,67.97,11901,48631
3,8,67.92,18345,55557
4,21,68,18536,54333
5,79,68,19206,55283
6,545,67.99,20803,58649
1,2,65.99,17542,55067
2,3,67.73,13142,48693
3,8,68,19737,56495
4,24,67.91,18652,55423
5,84,68,20643,56466
6,531,68,21059,58164
1,2,65.99,17689,56173
2,3,67.73,13549,49424
3,7,67.91,18397,54757
4,21,67.87,19884,56031
5,76,67.99,20287,55792
6,554,67.99,20400,57304
1,2,65.99,17470,55431
2,3,67.97,11631,47451
3,7,67.88,20809,57625
4,22,67.94,17329,53683
5,79,67.99,18418,54053
6,545,68,20212,56902
1,2,65.99,17141,55604
2,3,67.88,11831,46876
3,8,67.98,19603,56141
4,22,67.97,19344,56264
5,82,68,20360,56356
6,552,68,20568,58004
1,2,65.99,17430,56348
2,3,67.88,11405,47206
3,7,67.96,19588,55259
4,24,67.95,18159,54501
5,80,67.98,20107,56758
6,528,67.99,21051,57859
1,2,65.99,17356,55372
2,4,67.3,18384,54766
3,6,67.79,19283,55488
4,22,67.97,17566,54495
5,78,67.99,20564,56165
6,555,67.99,20485,57867
1,2,65.99,17315,55148
2,3,67.97,11682,46688
3,7,67.74,19702,56566
4,24,67.97,17761,54099
5,79,68,19348,55168
6,528,68,20850,57833
1,2,65.99,17465,55563
2,3,67.88,10934,45821
3,6,67.96,20768,57115
4,22,67.99,19589,56584
5,77,68,19620,55637
6,529,68,21126,58301
1,2,65.99,17287,56033
2,3,67.88,11389,46411
3,6,67.97,19556,56475
4,22,67.98,19874,55811
5,78,68,18770,54174
6,541,67.99,21211,58386
